Мэрия города Кочкор-Ата,41.0371185,72.4790696,Джалал-Абадская область,Кочкор-Ата
Государственная администрация Кара-Кульджинского района Ошской области,40.634189,73.5906105,Джалал-Абадская область,Кара Кулжа
Счетная палата Кыргызской Республики,42.8791888,74.5919274,Чуйская область,Бишкек
Аппарат Президента КР,41.20438,74.766098,Чуйская область,Бишкек
Государственная налоговая служба при Правительстве Кыргызской Республики,42.8767344,74.594469,Чуйская область,Бишкек
Аппарат Правительства Кыргызской Республики,42.8800704,74.6039909,Чуйская область,Бишкек
Аппарат Жогорку Кенеша Кыргызской Республики,41.20438,74.766098,Чуйская область,Бишкек
Аппарат Правительства КР,41.20438,74.766098,Чуйская область,Бишкек
Аппарат Жогорку Кенеша КР,41.20438,74.766098,Чуйская область,Бишкек
Чуйская районная государственная администрация,42.5655,74.4056612,Чуйская область,Бишкек
Жогорку Кенеш Кыргызской Республики,42.8772492,74.6002389,Чуйская область,Бишкек
Мэрия города Каинда,42.8297548,73.6830521,Чуйская область,Жайыл
Государственная администрация Чаткалского района Джалал-Абадской области,41.8241681,71.097317,Джалал-Абадская область,Чаткал
Ноокатская районная государственная администрация,40.0368118,72.6151169,Ошская область,Ноокат
Баткенский областной суд,40.0536531,70.8141786,Баткенская область,Баткен
Государственная служба финансовой разведки при Правительстве Кыргызской Республики,42.8821142,74.5976226,Чуйская область,Бишкек
Министерство энергетики и промышленности,42.8821142,74.5976226,Чуйская область,Бишкек
Мэрия города Жалал-Абад,40.93007,73.0011386,Джалал-Абадская область,Джалал Абад
Министерство чрезвычайных ситуаций Кыргызской Республики,40.5255681,72.7935541,Ошская область,Ош
Государственная таможенная служба при Правительстве Кыргызской Республики,42.8821142,74.5976226,Чуйская область,Бишкек
Военный суд КР,42.8821142,74.5976226,Чуйская область,Бишкек
Верховный суд КР,42.8796081,74.605566,Чуйская область,Бишкек
Свердловский районный суд г.Бишкек,42.8697758,74.6163468,Чуйская область,Бишкек
Государственная служба по борьбе с экономическими преступлениями при Правительстве         Кыргызской Республики,42.8532441,74.5926664,Чуйская область,Бишкек
Муниципальная администрация мэрии гор.Бишкек по Свердловскому району,42.8744034,74.6345794,Чуйская область,Бишкек
Министерство внутренних дел Кыргызской Республики,42.8807207,74.6092764,Чуйская область,Бишкек
Аппарат Президента Кыргызской Республики,42.8807207,74.6092764,Чуйская область,Бишкек
Московский районный суд,42.8284766,74.0949834,Чуйская область,Беловодское
Сокулукский районный суд,42.857496,74.3025192,Чуйская область,Сокулук
Таласский областной суд,42.5317628,72.2304571,Таласская область,Талас
Иссык-Кульский областной суд,42.643763,77.0646098,Иссык-Кульская область,Чолпон-Ата
Государственная администрация Жайылского района Чуйской области,42.8198365,73.8444704,Чуйская область,Жайыл
Гор. кенеш г.Баткен,40.054846,70.8209144,Баткенская область,Баткен
Мэрия гор.Кара-Балта,42.8014367,73.8519242,Чуйская область,Жайыл
