File,Year,Workplace,Position,CleanedPosition,PlaceLat,PlaceLon,PlaceArea,PlaceCity,FullName,Gender,TotalIncome,ReporterIncome,SpouseIncome,Income1,Income2,Income3,Income4,Income5,Outcome1,Outcome2,Outcome3,RealEstateType1,RealEstateArea1,RealEstateType2,RealEstateArea2,RealEstateType3,RealEstateArea3,RealEstateType4,RealEstateArea4,RealEstateType5,RealEstateArea5,RealEstateType6,RealEstateArea6,RealEstateType7,RealEstateArea7,RealEstateType8,RealEstateArea8,RealEstateType9,RealEstateArea9,RealEstateType10,RealEstateArea10,RealEstateType11,RealEstateArea11,RealEstateType12,RealEstateArea12,RealEstateType13,RealEstateArea13,RealEstateType14,RealEstateArea14,RealEstateType15,RealEstateArea15,RealEstateType16,RealEstateArea16,RealEstateType17,RealEstateArea17,RealEstateType18,RealEstateArea18,RealEstateType19,RealEstateArea19,RealEstateType20,RealEstateArea20,RealEstateType21,RealEstateArea21,RealEstateType22,RealEstateArea22,RealEstateType23,RealEstateArea23,RealEstateType24,RealEstateArea24,RealEstateType25,RealEstateArea25,RealEstateType26,RealEstateArea26,RealEstateType27,RealEstateArea27,RealEstateType28,RealEstateArea28,RealEstateType29,RealEstateArea29,RealEstateType30,RealEstateArea30,RealEstateType31,RealEstateArea31,PropertyType1,PropertyDescription1,PropertyType2,PropertyDescription2,PropertyType3,PropertyDescription3,PropertyType4,PropertyDescription4,PropertyType5,PropertyDescription5,RelativeIncome1,RelativeIncome2,RelativeIncome3,RelativeIncome4,RelativeIncome5,RelativeIncome6,RelativeOutcome1,RelativeOutcome2,RelativeOutcome3,RelativeOutcome4,RelativeRealEstateType1,RelativeRealEstateArea1,RelativeRealEstateType2,RelativeRealEstateArea2,RelativeRealEstateType3,RelativeRealEstateArea3,RelativeRealEstateType4,RelativeRealEstateArea4,RelativeRealEstateType5,RelativeRealEstateArea5,RelativeRealEstateType6,RelativeRealEstateArea6,RelativeRealEstateType7,RelativeRealEstateArea7,RelativeRealEstateType8,RelativeRealEstateArea8,RelativeRealEstateType9,RelativeRealEstateArea9,RelativeRealEstateType10,RelativeRealEstateArea10,RelativeRealEstateType11,RelativeRealEstateArea11,RelativeRealEstateType12,RelativeRealEstateArea12,RelativeRealEstateType13,RelativeRealEstateArea13,RelativeRealEstateType14,RelativeRealEstateArea14,RelativeRealEstateType15,RelativeRealEstateArea15,RelativeRealEstateType16,RelativeRealEstateArea16,RelativeRealEstateType17,RelativeRealEstateArea17,RelativeRealEstateType18,RelativeRealEstateArea18,RelativeRealEstateType19,RelativeRealEstateArea19,RelativeRealEstateType20,RelativeRealEstateArea20,RelativeRealEstateType21,RelativeRealEstateArea21,RelativeRealEstateType22,RelativeRealEstateArea22,RelativeRealEstateType23,RelativeRealEstateArea23,RelativeRealEstateType24,RelativeRealEstateArea24,RelativeRealEstateType25,RelativeRealEstateArea25,RelativeRealEstateType26,RelativeRealEstateArea26,RelativeRealEstateType27,RelativeRealEstateArea27,RelativeRealEstateType28,RelativeRealEstateArea28,RelativeRealEstateType29,RelativeRealEstateArea29,RelativeRealEstateType30,RelativeRealEstateArea30,RelativeRealEstateType31,RelativeRealEstateArea31,RelativeRealEstateType32,RelativeRealEstateArea32,RelativePropertyType1,RelativePropertyDescription1,RelativePropertyType2,RelativePropertyDescription2,RelativePropertyType3,RelativePropertyDescription3,RelativePropertyType4,RelativePropertyDescription4,RelativePropertyType5,RelativePropertyDescription5,RelativePropertyType6,RelativePropertyDescription6,RelativePropertyType7,RelativePropertyDescription7,RelativePropertyType8,RelativePropertyDescription8,RelativePropertyType9,RelativePropertyDescription9,RelativePropertyType10,RelativePropertyDescription10
files/2015-2016/2016092020362510.xlsx,2015,Мэрия города Кочкор-Ата,Мэр,мэр,41.0371185,72.4790696,Джалал-Абадская область,Кочкор-Ата,Эгембердиев Кубанычбек Мырзамамытович,М,240697.0,240697.0,0.0,240697.0,"","","","","","","",дом,502.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",дом,4.4,дом,не указано,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/2017082222460311.xlsx,2016,Государственная администрация Кара-Кульджинского района Ошской области,Руководитель аппарата,руководитель аппарата,40.634189,73.5906105,Джалал-Абадская область,Кара Кулжа,Тутуев Канболот Мусаевич,М,426534.0,282148.0,144386.0,282 148 с. -по месту основной работы,"","","","","","","",квартира,"45,57",дом,10 сот,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",144 386 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201708040240346.xlsx,2016,Счетная палата Кыргызской Республики,Аудитор,аудитор,42.8791888,74.5919274,Чуйская область,Бишкек,Тумонбаев Акылбек Тогузбаевич,М,7299993.0,7299993.0,0.0,669993 (доходы по основному месту работы),6630000 (доходы от продажи КРС и МРС),"","","",-,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-, ,"","","","",-,"","","",дом,300.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-,-,"","","","","","","","","","","","","","","","","",""
files/2015-2016/201607072051461.xlsx,2015,Аппарат Президента КР,Президент КР,президент кр,41.20438,74.766098,Чуйская область,Бишкек,Атамбаев Алмазбек Шаршенович,М,9340146.0,1298448.0,8041698.0,1 298 448 сомов,"","","","",34 000 000 сом (из собственных накоплений),"","",строение с земельным участком,"116,34 (строение);    27 000 (зем.участок)",многолетние насаждения (переданное в доверительное управление),64000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",182 588 сомов (по месту основной работы),7859110 (проценты от начисленных вкладов),"","","","","","","","",парковочное место,15.7,квартира,133.3,квартира,51.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/2016111420054213.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Заместитель начальника УГНС по Октябрскому району г.Бишкек,заместитель начальника,42.8767344,74.594469,Чуйская область,Бишкек,Кенешева Чолпон Турсуновна,Ж,423961.0,273486.0,150475.0,273486,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",150475,"","","","","","","","","",дом (25%),150,квартира (25%),58,нежилое помещение (25%),300,павильон (25%),30,"земля (к/х), (25%)","5,0 га","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Харрьер, 2003 г.в, V-3000",автомобиль,"Лексус RX-400, 2005 г.в, V-3311","","","","","","","","","","","","","","","",""
files/2015-2016/2017080421013814.xlsx,2016,Государственная налоговая служба при Правительстве Кыргызской Республики,Заместитель председателя,заместитель председателя,42.8767344,74.594469,Чуйская область,Бишкек,Кумашов Кубанычбек Арстанбекович,М,1400453.0,1100453.0,300000.0,380 453 с.-по месту основной работы,720 000 с.-от продажи автомобиля,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",300 000с.-от предпринимательской деятельности,"","","","","","","","","",земельный участок,500,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/2016092616593315.xlsx,2015,Аппарат Правительства Кыргызской Республики,Экс- эксперт,эксперт,42.8800704,74.6039909,Чуйская область,Бишкек,Пусурманова Айниса Ташматовна,Ж,330151.0,330151.0,0.0,330151,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201609262247018.xlsx,2015,Аппарат Жогорку Кенеша Кыргызской Республики,Заместитель руководителя пресс-службы,заместитель руководителя пресс-службы,41.20438,74.766098,Чуйская область,Бишкек,Козубаев Шайлообек Жаланович,М,90000.0,90000.0,0.0,90000.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"БМВ 320, 2000г вып., V-2","","","","","","","","","","","","","","","","","","",квартира,86.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2015-2016/201709182203560.xlsx,2016,Аппарат Правительства КР,Вице-премьер-министр,вице-премьер-министр,41.20438,74.766098,Чуйская область,Бишкек,Панкратов Олег Михайлович,М,1358110.45,964689.27,393421.18,"964 689,27 с.-по месту основной работы","","","","","","","",дом,80,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Харриер, 2003 г.в., V=3","","","","","","","","","393 421,18 с.-по месту основной работы","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Хонда, 2003 г.в., V=3","","","","","","","","","","","","","","","","","",""
files/2015-2016/2016111515494715.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Начальник УГНС по Кара-Бууринскому р-ну,начальник угнс,42.8767344,74.594469,Чуйская область,Бишкек,Мураталиев Музур Джумагулович,М,551669.0,278426.0,273243.0,278 426,"","","","","","","",земельный участок,4300,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",273 243,"","","","","","","","","",земельный участок,600,дом,295,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
